path,line_number,category,pattern,verdict,clearing_marker,line
reports/audit/horizon_resolution_frontier.md,109,causal_language,average treatment effect,cleared,negated:not,"- Reference blocks are pre-treatment windows for the same series, not untreated units. This is a rank position among earlier forecast errors, not an average treatment effect."
reports/audit/network_support_frontier.md,110,ais_dark,ais-dark throughput,cleared,inline_negation:no,"- No AIS-dark throughput may be inferred from these counts. The failure modes that remove a sequence from the panel are themselves plausibly correlated with the disruption, which would bias any such inference in an unknown direction."
reports/audit/network_support_frontier.md,111,causal_language,average treatment effect,cleared,negated:not,- Selective support loss is a descriptive contrast between two observation counts. It is not an average treatment effect and it does not identify a causal mechanism.
reports/audit/portwatch_sensitivity_budget_card.md,37,causal_language,\bATT\b,cleared,negated:not,"> On the identical 130-day window, the four selected specifications span 5.175 transits/day in the pinned vintage and 3.646 in the August vintage. Holding the model fixed, the vintage changes the absolute estimate by 8.707–11.100/day, while model-relative shortfall shares stay numerically near 92.4–"
reports/audit/portwatch_sensitivity_budget_card.md,37,sensitivity_framing,variance decomposition,cleared,negated:not,"> On the identical 130-day window, the four selected specifications span 5.175 transits/day in the pinned vintage and 3.646 in the August vintage. Holding the model fixed, the vintage changes the absolute estimate by 8.707–11.100/day, while model-relative shortfall shares stay numerically near 92.4–"
reports/audit/portwatch_sensitivity_budget_card.md,41,causal_language,\bATT\b,cleared,negated:not,"The absolute axes are separate and non-additive. There is no combined budget total and no vintage average. This is a descriptive case-local sensitivity analysis of counterfactual forecast shortfalls, not an uncertainty interval, variance decomposition, ATT, claim that either vintage is more accurate"
reports/audit/portwatch_sensitivity_budget_card.md,41,sensitivity_framing,variance decomposition,cleared,negated:not,"The absolute axes are separate and non-additive. There is no combined budget total and no vintage average. This is a descriptive case-local sensitivity analysis of counterfactual forecast shortfalls, not an uncertainty interval, variance decomposition, ATT, claim that either vintage is more accurate"
reports/audit/public_data_gate_decisions.md,38,ais_dark,ais-dark throughput,cleared,negated:not,"- **Sentinel-1 SAR ship detections** — Never a daily AIS-dark throughput multiplier, never a scaling factor applied to unobserved sequences, and never a substitute for the support-limited construct."
reports/audit/route_burden_decomposition.md,12,physical_rerouting,observed cargo ton-miles,cleared,inline_negation:not,"Both factors are modeled. Nominal vessel capacity is a design property of the carrier, not a measured cargo quantity, and the distance is a shortest-sea-route network estimate, not an observed AIS track. A change in this mean describes **which sequences remain observable and how their modeled attrib"
reports/audit/route_burden_decomposition.md,12,physical_rerouting,physical rerouting,cleared,inline_negation:not,"Both factors are modeled. Nominal vessel capacity is a design property of the carrier, not a measured cargo quantity, and the distance is a shortest-sea-route network estimate, not an observed AIS track. A change in this mean describes **which sequences remain observable and how their modeled attrib"
reports/audit/route_burden_decomposition.md,12,physical_rerouting,sailed farther,cleared,negated:not,"Both factors are modeled. Nominal vessel capacity is a design property of the carrier, not a measured cargo quantity, and the distance is a shortest-sea-route network estimate, not an observed AIS track. A change in this mean describes **which sequences remain observable and how their modeled attrib"
reports/audit/route_burden_decomposition.md,100,physical_rerouting,observed cargo ton-miles,cleared,inline_negation:not,- The construct is `modeled distance per nominal vessel-capacity m3 among retained inferred voyages`. It is not observed cargo ton-miles.
reports/audit/route_burden_decomposition.md,101,physical_rerouting,physical rerouting,cleared,inline_negation:not,- It is not physical rerouting and not evidence that individual ships sailed farther. No vessel-level distance change is measured anywhere in this artifact.
reports/audit/route_burden_decomposition.md,101,physical_rerouting,sailed farther,cleared,negated:not,- It is not physical rerouting and not evidence that individual ships sailed farther. No vessel-level distance change is measured anywhere in this artifact.
reports/audit/route_burden_decomposition.md,103,causal_language,average treatment effect,cleared,negated:not,"- No AIS-dark physical throughput may be inferred, and nothing here is an average treatment effect or a causal identification."
reports/mechanism_results_summary.md,43,causal_language,\bATT\b,cleared,structural:pattern,"The retained-voyage result is a conditional sample-composition shift, not a fleet-distance or ton-mile multiplier. Routed voyages and aggregate nominal capacity-distance both fall, while mean modeled capacity-distance rises only among resolved voyages retained in the post-period sample. Common-route"
reports/network_rewiring_summary.md,6,causal_language,\bATT\b,cleared,negated:not,"not show that the disruption was absorbed, and it does not report an ATT, a"
reports/run_output.md,105,causal_language,\bATT\b,cleared,negated:not,"These are disruption-associated counterfactual shortfalls in observed AIS-based tanker throughput, not a causal ATT and not an LNG freight-rate estimate."
reports/transmission_chain_summary.md,38,causal_language,\bATT\b,cleared,negated:not,"| 1 | Chokepoint disruption | IMF PortWatch (satellite AIS) | Strait of Hormuz tanker transits, 94-day mechanism-aligned window | 5366.3 | 245.0 | -95.4 | mean-scaled corridor statistic -95.5%; donor synthetic control 4.2x separation (survives pessimistic screen); Romano-Wolf p=0.10 | 94-day corrido"
reports/transmission_chain_summary.md,49,causal_language,\bATT\b,cleared,negated:not,- Every layer is descriptive; none establishes a causal ATT or observed cargo
